Codi_Districte,Sexe,Nom_Districte,Edat,Valor,Escenari,_id,Any
1,Dona,Ciutat Vella,0 anys,404,Alt,1,2021
1,Dona,Ciutat Vella,0 anys,506,Alt,2,2022
1,Dona,Ciutat Vella,0 anys,558,Alt,3,2023
1,Dona,Ciutat Vella,0 anys,581,Alt,4,2024
1,Dona,Ciutat Vella,0 anys,603,Alt,5,2025
1,Dona,Ciutat Vella,0 anys,625,Alt,6,2026
1,Dona,Ciutat Vella,0 anys,646,Alt,7,2027
1,Dona,Ciutat Vella,0 anys,666,Alt,8,2028
1,Dona,Ciutat Vella,0 anys,678,Alt,9,2029
1,Dona,Ciutat Vella,0 anys,683,Alt,10,2030
1,Dona,Ciutat Vella,0 anys,682,Alt,11,2031
1,Dona,Ciutat Vella,0 anys,677,Alt,12,2032
1,Dona,Ciutat Vella,0 anys,671,Alt,13,2033
1,Dona,Ciutat Vella,0 anys,663,Alt,14,2034
1,Dona,Ciutat Vella,0 anys,654,Alt,15,2035
1,Dona,Ciutat Vella,0 anys,647,Alt,16,2036
1,Dona,Ciutat Vella,0 anys,640,Alt,17,2037
1,Dona,Ciutat Vella,0 anys,635,Alt,18,2038
1,Dona,Ciutat Vella,0 anys,631,Alt,19,2039
1,Dona,Ciutat Vella,0 anys,628,Alt,20,2040
1,Dona,Ciutat Vella,0 anys,627,Alt,21,2041
1,Dona,Ciutat Vella,0 anys,627,Alt,22,2042
1,Dona,Ciutat Vella,0 anys,628,Alt,23,2043
1,Dona,Ciutat Vella,0 anys,631,Alt,24,2044
1,Dona,Ciutat Vella,0 anys,634,Alt,25,2045
1,Dona,Ciutat Vella,0 anys,639,Alt,26,2046
2,Dona,Eixample,0 anys,892,Alt,27,2021
2,Dona,Eixample,0 anys,1000,Alt,28,2022
2,Dona,Eixample,0 anys,1082,Alt,29,2023
2,Dona,Eixample,0 anys,1105,Alt,30,2024
2,Dona,Eixample,0 anys,1130,Alt,31,2025
2,Dona,Eixample,0 anys,1156,Alt,32,2026
2,Dona,Eixample,0 anys,1181,Alt,33,2027
2,Dona,Eixample,0 anys,1205,Alt,34,2028
2,Dona,Eixample,0 anys,1217,Alt,35,2029
2,Dona,Eixample,0 anys,1217,Alt,36,2030
2,Dona,Eixample,0 anys,1210,Alt,37,2031
2,Dona,Eixample,0 anys,1198,Alt,38,2032
2,Dona,Eixample,0 anys,1183,Alt,39,2033
2,Dona,Eixample,0 anys,1166,Alt,40,2034
2,Dona,Eixample,0 anys,1150,Alt,41,2035
2,Dona,Eixample,0 anys,1135,Alt,42,2036
2,Dona,Eixample,0 anys,1121,Alt,43,2037
2,Dona,Eixample,0 anys,1110,Alt,44,2038
2,Dona,Eixample,0 anys,1100,Alt,45,2039
